desc,sql,tag,dialect
Count total orders by id,"SELECT id, count(*) FROM orders GROUP BY id ORDER BY 2 DESC",Finance,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Product,Postgres
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Product,Postgres
Monthly trend of event_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_id) FROM events GROUP BY 1 ORDER BY 1",Support,Postgres
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
Count total logs by service_name,"SELECT service_name, count(*) FROM logs GROUP BY service_name ORDER BY 2 DESC",Sales,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Product,Postgres
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Support,BigQuery
Find users with id greater than 289,SELECT * FROM users WHERE id > 470 LIMIT 100,Product,Postgres
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Sales,Postgres
Find users with id greater than 820,SELECT * FROM users WHERE id > 159 LIMIT 100,Engineering,Postgres
Monthly trend of price for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(price) FROM products GROUP BY 1 ORDER BY 1",Finance,Postgres
Count total products by category,"SELECT category, count(*) FROM products GROUP BY category ORDER BY 2 DESC",Product,BigQuery
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Snowflake
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Marketing,BigQuery
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Engineering,BigQuery
Calculate average timestamp in events,SELECT avg(timestamp) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Product,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Marketing,Postgres
Monthly trend of event_type for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_type) FROM events GROUP BY 1 ORDER BY 1",Sales,Postgres
Count total products by category,"SELECT category, count(*) FROM products GROUP BY category ORDER BY 2 DESC",Sales,Postgres
Find users with status greater than 843,SELECT * FROM users WHERE status > 668 LIMIT 100,Engineering,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Marketing,Postgres
Count total products by name,"SELECT name, count(*) FROM products GROUP BY name ORDER BY 2 DESC",Sales,Snowflake
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Support,Postgres
Find products with id greater than 289,SELECT * FROM products WHERE id > 137 LIMIT 100,Sales,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Marketing,Snowflake
Find subscriptions with id greater than 90,SELECT * FROM subscriptions WHERE id > 450 LIMIT 100,Product,Postgres
Find subscriptions with plan_type greater than 91,SELECT * FROM subscriptions WHERE plan_type > 345 LIMIT 100,Support,Snowflake
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Sales,Snowflake
Find users with status greater than 291,SELECT * FROM users WHERE status > 664 LIMIT 100,Finance,Postgres
Monthly trend of event_type for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_type) FROM events GROUP BY 1 ORDER BY 1",Support,Postgres
Count total users by country,"SELECT country, count(*) FROM users GROUP BY country ORDER BY 2 DESC",Finance,Postgres
Find events with event_type greater than 982,SELECT * FROM events WHERE event_type > 590 LIMIT 100,Finance,BigQuery
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Product,Postgres
Find subscriptions with start_date greater than 675,SELECT * FROM subscriptions WHERE start_date > 295 LIMIT 100,Engineering,Postgres
Count total users by status,"SELECT status, count(*) FROM users GROUP BY status ORDER BY 2 DESC",Product,Postgres
Find products with stock_level greater than 636,SELECT * FROM products WHERE stock_level > 302 LIMIT 100,Support,Snowflake
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Support,Snowflake
Find users with signup_date greater than 573,SELECT * FROM users WHERE signup_date > 565 LIMIT 100,Sales,Snowflake
Count total orders by status,"SELECT status, count(*) FROM orders GROUP BY status ORDER BY 2 DESC",Engineering,Postgres
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Product,Postgres
Calculate average mrr in subscriptions,SELECT avg(mrr) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Finance,Snowflake
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Count total subscriptions by start_date,"SELECT start_date, count(*) FROM subscriptions GROUP BY start_date ORDER BY 2 DESC",Finance,Postgres
Count total subscriptions by user_id,"SELECT user_id, count(*) FROM subscriptions GROUP BY user_id ORDER BY 2 DESC",Support,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
Count total products by category,"SELECT category, count(*) FROM products GROUP BY category ORDER BY 2 DESC",Product,BigQuery
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Find subscriptions with mrr greater than 855,SELECT * FROM subscriptions WHERE mrr > 894 LIMIT 100,Finance,Postgres
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Marketing,BigQuery
Calculate average url in events,SELECT avg(url) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Engineering,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Sales,BigQuery
Find products with stock_level greater than 788,SELECT * FROM products WHERE stock_level > 389 LIMIT 100,Product,BigQuery
Find users with email greater than 135,SELECT * FROM users WHERE email > 283 LIMIT 100,Marketing,Postgres
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
Find orders with status greater than 204,SELECT * FROM orders WHERE status > 791 LIMIT 100,Engineering,Snowflake
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Marketing,BigQuery
Count total logs by service_name,"SELECT service_name, count(*) FROM logs GROUP BY service_name ORDER BY 2 DESC",Finance,Snowflake
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
Find orders with amount greater than 384,SELECT * FROM orders WHERE amount > 56 LIMIT 100,Marketing,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Marketing,Snowflake
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Product,Snowflake
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
Count total logs by service_name,"SELECT service_name, count(*) FROM logs GROUP BY service_name ORDER BY 2 DESC",Product,Snowflake
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Product,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Sales,Snowflake
Calculate average url in events,SELECT avg(url) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Support,BigQuery
Calculate average timestamp in events,SELECT avg(timestamp) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Support,BigQuery
Count total subscriptions by mrr,"SELECT mrr, count(*) FROM subscriptions GROUP BY mrr ORDER BY 2 DESC",Product,BigQuery
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
Calculate average mrr in subscriptions,SELECT avg(mrr) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Snowflake
Count total events by timestamp,"SELECT timestamp, count(*) FROM events GROUP BY timestamp ORDER BY 2 DESC",Marketing,BigQuery
Calculate average session_id in events,SELECT avg(session_id) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Sales,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Marketing,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Sales,BigQuery
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Support,Snowflake
Calculate average price in products,SELECT avg(price) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Postgres
Calculate average price in products,SELECT avg(price) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Support,Snowflake
Monthly trend of session_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(session_id) FROM events GROUP BY 1 ORDER BY 1",Sales,BigQuery
Find events with session_id greater than 640,SELECT * FROM events WHERE session_id > 768 LIMIT 100,Product,Postgres
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
Monthly trend of event_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_id) FROM events GROUP BY 1 ORDER BY 1",Product,Postgres
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Support,Postgres
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Finance,Postgres
Count total logs by message,"SELECT message, count(*) FROM logs GROUP BY message ORDER BY 2 DESC",Engineering,BigQuery
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Engineering,BigQuery
Find logs with timestamp greater than 348,SELECT * FROM logs WHERE timestamp > 176 LIMIT 100,Support,Snowflake
Find events with session_id greater than 764,SELECT * FROM events WHERE session_id > 355 LIMIT 100,Sales,BigQuery
Count total events by timestamp,"SELECT timestamp, count(*) FROM events GROUP BY timestamp ORDER BY 2 DESC",Marketing,Snowflake
Find subscriptions with id greater than 695,SELECT * FROM subscriptions WHERE id > 107 LIMIT 100,Engineering,Postgres
Find logs with timestamp greater than 277,SELECT * FROM logs WHERE timestamp > 402 LIMIT 100,Engineering,Snowflake
Find products with price greater than 750,SELECT * FROM products WHERE price > 596 LIMIT 100,Finance,Snowflake
Find events with session_id greater than 693,SELECT * FROM events WHERE session_id > 131 LIMIT 100,Marketing,Snowflake
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Sales,Snowflake
Count total subscriptions by user_id,"SELECT user_id, count(*) FROM subscriptions GROUP BY user_id ORDER BY 2 DESC",Marketing,BigQuery
Find subscriptions with start_date greater than 944,SELECT * FROM subscriptions WHERE start_date > 492 LIMIT 100,Product,BigQuery
Count total orders by id,"SELECT id, count(*) FROM orders GROUP BY id ORDER BY 2 DESC",Product,BigQuery
Calculate average id in products,SELECT avg(id) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Product,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Product,Snowflake
Count total users by country,"SELECT country, count(*) FROM users GROUP BY country ORDER BY 2 DESC",Product,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Finance,BigQuery
Find logs with id greater than 270,SELECT * FROM logs WHERE id > 846 LIMIT 100,Finance,BigQuery
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Support,Postgres
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Postgres
Monthly trend of event_type for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_type) FROM events GROUP BY 1 ORDER BY 1",Marketing,Snowflake
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Product,Snowflake
Count total subscriptions by id,"SELECT id, count(*) FROM subscriptions GROUP BY id ORDER BY 2 DESC",Sales,Snowflake
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
Find logs with timestamp greater than 203,SELECT * FROM logs WHERE timestamp > 969 LIMIT 100,Support,Postgres
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Finance,BigQuery
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Marketing,Snowflake
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Sales,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Support,Snowflake
Find orders with user_id greater than 236,SELECT * FROM orders WHERE user_id > 433 LIMIT 100,Sales,Snowflake
